"","exon.lengths","Gene"
"ENSRNOG00000052102",963,"ENSRNOG00000052102"
"ENSRNOG00000052109",373,"ENSRNOG00000052109"
"ENSRNOG00000052111",3202,"ENSRNOG00000052111"
"ENSRNOG00000052112",153,"ENSRNOG00000052112"
"ENSRNOG00000052113",4499,"ENSRNOG00000052113"
"ENSRNOG00000052115",143,"ENSRNOG00000052115"
"ENSRNOG00000052116",4995,"ENSRNOG00000052116"
"ENSRNOG00000052123",106,"ENSRNOG00000052123"
"ENSRNOG00000052124",477,"ENSRNOG00000052124"
"ENSRNOG00000052126",130,"ENSRNOG00000052126"
"ENSRNOG00000052128",3053,"ENSRNOG00000052128"
"ENSRNOG00000052129",12143,"ENSRNOG00000052129"
"ENSRNOG00000052131",129,"ENSRNOG00000052131"
"ENSRNOG00000052132",97,"ENSRNOG00000052132"
"ENSRNOG00000052133",111,"ENSRNOG00000052133"
"ENSRNOG00000052134",2900,"ENSRNOG00000052134"
"ENSRNOG00000052137",88,"ENSRNOG00000052137"
"ENSRNOG00000052140",4864,"ENSRNOG00000052140"
"ENSRNOG00000052142",2250,"ENSRNOG00000052142"
"ENSRNOG00000052146",133,"ENSRNOG00000052146"
"ENSRNOG00000052147",107,"ENSRNOG00000052147"
"ENSRNOG00000052151",1847,"ENSRNOG00000052151"
"ENSRNOG00000052152",2508,"ENSRNOG00000052152"
"ENSRNOG00000052155",97,"ENSRNOG00000052155"
"ENSRNOG00000052156",78,"ENSRNOG00000052156"
"ENSRNOG00000052157",9498,"ENSRNOG00000052157"
"ENSRNOG00000052158",123,"ENSRNOG00000052158"
"ENSRNOG00000052161",72,"ENSRNOG00000052161"
"ENSRNOG00000052164",107,"ENSRNOG00000052164"
"ENSRNOG00000052165",102,"ENSRNOG00000052165"
"ENSRNOG00000052171",132,"ENSRNOG00000052171"
"ENSRNOG00000052172",61,"ENSRNOG00000052172"
"ENSRNOG00000052173",2888,"ENSRNOG00000052173"
"ENSRNOG00000052174",357,"ENSRNOG00000052174"
"ENSRNOG00000052179",142,"ENSRNOG00000052179"
"ENSRNOG00000052180",319,"ENSRNOG00000052180"
"ENSRNOG00000052181",1695,"ENSRNOG00000052181"
"ENSRNOG00000052183",116,"ENSRNOG00000052183"
"ENSRNOG00000052193",216,"ENSRNOG00000052193"
"ENSRNOG00000052195",106,"ENSRNOG00000052195"
"ENSRNOG00000052197",106,"ENSRNOG00000052197"
"ENSRNOG00000052199",2453,"ENSRNOG00000052199"
"ENSRNOG00000052201",129,"ENSRNOG00000052201"
"ENSRNOG00000052202",83,"ENSRNOG00000052202"
"ENSRNOG00000052204",4471,"ENSRNOG00000052204"
"ENSRNOG00000052206",709,"ENSRNOG00000052206"
"ENSRNOG00000052207",487,"ENSRNOG00000052207"
"ENSRNOG00000052210",130,"ENSRNOG00000052210"
"ENSRNOG00000052213",118,"ENSRNOG00000052213"
"ENSRNOG00000052214",108,"ENSRNOG00000052214"
"ENSRNOG00000052215",136,"ENSRNOG00000052215"
"ENSRNOG00000052218",135,"ENSRNOG00000052218"
"ENSRNOG00000052219",2141,"ENSRNOG00000052219"
"ENSRNOG00000052220",2074,"ENSRNOG00000052220"
"ENSRNOG00000052221",106,"ENSRNOG00000052221"
"ENSRNOG00000052224",2047,"ENSRNOG00000052224"
"ENSRNOG00000052232",2648,"ENSRNOG00000052232"
"ENSRNOG00000052234",106,"ENSRNOG00000052234"
"ENSRNOG00000052235",105,"ENSRNOG00000052235"
"ENSRNOG00000052236",378,"ENSRNOG00000052236"
"ENSRNOG00000052240",111,"ENSRNOG00000052240"
"ENSRNOG00000052241",104,"ENSRNOG00000052241"
"ENSRNOG00000052247",3660,"ENSRNOG00000052247"
"ENSRNOG00000052250",133,"ENSRNOG00000052250"
"ENSRNOG00000052252",99,"ENSRNOG00000052252"
"ENSRNOG00000052256",2823,"ENSRNOG00000052256"
"ENSRNOG00000052262",105,"ENSRNOG00000052262"
"ENSRNOG00000052263",164,"ENSRNOG00000052263"
"ENSRNOG00000052273",2132,"ENSRNOG00000052273"
"ENSRNOG00000052274",138,"ENSRNOG00000052274"
"ENSRNOG00000052275",2510,"ENSRNOG00000052275"
"ENSRNOG00000052281",103,"ENSRNOG00000052281"
"ENSRNOG00000052284",107,"ENSRNOG00000052284"
"ENSRNOG00000052285",144,"ENSRNOG00000052285"
"ENSRNOG00000052287",399,"ENSRNOG00000052287"
"ENSRNOG00000052288",105,"ENSRNOG00000052288"
"ENSRNOG00000052289",3071,"ENSRNOG00000052289"
"ENSRNOG00000052293",148,"ENSRNOG00000052293"
"ENSRNOG00000052294",572,"ENSRNOG00000052294"
"ENSRNOG00000052295",127,"ENSRNOG00000052295"
"ENSRNOG00000052296",8103,"ENSRNOG00000052296"
"ENSRNOG00000052300",87,"ENSRNOG00000052300"
"ENSRNOG00000052304",309,"ENSRNOG00000052304"
"ENSRNOG00000052305",5005,"ENSRNOG00000052305"
"ENSRNOG00000052307",2987,"ENSRNOG00000052307"
"ENSRNOG00000052310",6713,"ENSRNOG00000052310"
"ENSRNOG00000052312",117,"ENSRNOG00000052312"
"ENSRNOG00000052314",133,"ENSRNOG00000052314"
"ENSRNOG00000052318",62,"ENSRNOG00000052318"
"ENSRNOG00000052319",237,"ENSRNOG00000052319"
"ENSRNOG00000052320",101,"ENSRNOG00000052320"
"ENSRNOG00000052327",177,"ENSRNOG00000052327"
"ENSRNOG00000052328",207,"ENSRNOG00000052328"
"ENSRNOG00000052329",157,"ENSRNOG00000052329"
"ENSRNOG00000052334",1188,"ENSRNOG00000052334"
"ENSRNOG00000052335",106,"ENSRNOG00000052335"
"ENSRNOG00000052338",133,"ENSRNOG00000052338"
"ENSRNOG00000052343",4630,"ENSRNOG00000052343"
"ENSRNOG00000052344",133,"ENSRNOG00000052344"
"ENSRNOG00000052348",791,"ENSRNOG00000052348"
"ENSRNOG00000052349",939,"ENSRNOG00000052349"
"ENSRNOG00000052354",6149,"ENSRNOG00000052354"
"ENSRNOG00000052362",104,"ENSRNOG00000052362"
"ENSRNOG00000052367",530,"ENSRNOG00000052367"
"ENSRNOG00000052368",2460,"ENSRNOG00000052368"
"ENSRNOG00000052370",129,"ENSRNOG00000052370"
"ENSRNOG00000052373",144,"ENSRNOG00000052373"
"ENSRNOG00000052375",127,"ENSRNOG00000052375"
"ENSRNOG00000052376",2007,"ENSRNOG00000052376"
"ENSRNOG00000052378",972,"ENSRNOG00000052378"
"ENSRNOG00000052381",63,"ENSRNOG00000052381"
"ENSRNOG00000052382",102,"ENSRNOG00000052382"
"ENSRNOG00000052383",830,"ENSRNOG00000052383"
"ENSRNOG00000052386",3528,"ENSRNOG00000052386"
"ENSRNOG00000052387",927,"ENSRNOG00000052387"
"ENSRNOG00000052388",522,"ENSRNOG00000052388"
"ENSRNOG00000052391",9978,"ENSRNOG00000052391"
"ENSRNOG00000052393",2348,"ENSRNOG00000052393"
"ENSRNOG00000052399",105,"ENSRNOG00000052399"
"ENSRNOG00000052401",106,"ENSRNOG00000052401"
"ENSRNOG00000052403",132,"ENSRNOG00000052403"
"ENSRNOG00000052404",115,"ENSRNOG00000052404"
"ENSRNOG00000052405",6302,"ENSRNOG00000052405"
"ENSRNOG00000052407",2504,"ENSRNOG00000052407"
"ENSRNOG00000052408",129,"ENSRNOG00000052408"
"ENSRNOG00000052410",132,"ENSRNOG00000052410"
"ENSRNOG00000052414",471,"ENSRNOG00000052414"
"ENSRNOG00000052415",1738,"ENSRNOG00000052415"
"ENSRNOG00000052416",116,"ENSRNOG00000052416"
"ENSRNOG00000052417",117,"ENSRNOG00000052417"
"ENSRNOG00000052418",2885,"ENSRNOG00000052418"
"ENSRNOG00000052424",10865,"ENSRNOG00000052424"
"ENSRNOG00000052428",869,"ENSRNOG00000052428"
"ENSRNOG00000052429",2294,"ENSRNOG00000052429"
"ENSRNOG00000052432",107,"ENSRNOG00000052432"
"ENSRNOG00000052433",740,"ENSRNOG00000052433"
"ENSRNOG00000052434",159,"ENSRNOG00000052434"
"ENSRNOG00000052438",130,"ENSRNOG00000052438"
"ENSRNOG00000052439",203,"ENSRNOG00000052439"
"ENSRNOG00000052444",6015,"ENSRNOG00000052444"
"ENSRNOG00000052445",8098,"ENSRNOG00000052445"
"ENSRNOG00000052446",133,"ENSRNOG00000052446"
"ENSRNOG00000052454",124,"ENSRNOG00000052454"
"ENSRNOG00000052456",1977,"ENSRNOG00000052456"
"ENSRNOG00000052457",94,"ENSRNOG00000052457"
"ENSRNOG00000052462",126,"ENSRNOG00000052462"
"ENSRNOG00000052463",927,"ENSRNOG00000052463"
"ENSRNOG00000052467",1326,"ENSRNOG00000052467"
"ENSRNOG00000052469",3149,"ENSRNOG00000052469"
"ENSRNOG00000052471",104,"ENSRNOG00000052471"
"ENSRNOG00000052472",62,"ENSRNOG00000052472"
"ENSRNOG00000052476",126,"ENSRNOG00000052476"
"ENSRNOG00000052477",3127,"ENSRNOG00000052477"
"ENSRNOG00000052482",134,"ENSRNOG00000052482"
"ENSRNOG00000052485",121,"ENSRNOG00000052485"
"ENSRNOG00000052486",7380,"ENSRNOG00000052486"
"ENSRNOG00000052487",74,"ENSRNOG00000052487"
"ENSRNOG00000052496",87,"ENSRNOG00000052496"
"ENSRNOG00000052498",2409,"ENSRNOG00000052498"
"ENSRNOG00000052499",2723,"ENSRNOG00000052499"
"ENSRNOG00000052503",108,"ENSRNOG00000052503"
"ENSRNOG00000052505",102,"ENSRNOG00000052505"
"ENSRNOG00000052506",1157,"ENSRNOG00000052506"
"ENSRNOG00000052510",2464,"ENSRNOG00000052510"
"ENSRNOG00000052513",5957,"ENSRNOG00000052513"
"ENSRNOG00000052516",372,"ENSRNOG00000052516"
"ENSRNOG00000052517",135,"ENSRNOG00000052517"
"ENSRNOG00000052519",2439,"ENSRNOG00000052519"
"ENSRNOG00000052520",93,"ENSRNOG00000052520"
"ENSRNOG00000052521",115,"ENSRNOG00000052521"
"ENSRNOG00000052526",104,"ENSRNOG00000052526"
"ENSRNOG00000052528",204,"ENSRNOG00000052528"
"ENSRNOG00000052529",107,"ENSRNOG00000052529"
"ENSRNOG00000052532",489,"ENSRNOG00000052532"
"ENSRNOG00000052539",9969,"ENSRNOG00000052539"
"ENSRNOG00000052543",122,"ENSRNOG00000052543"
"ENSRNOG00000052544",132,"ENSRNOG00000052544"
"ENSRNOG00000052548",169,"ENSRNOG00000052548"
"ENSRNOG00000052549",2282,"ENSRNOG00000052549"
"ENSRNOG00000052554",148,"ENSRNOG00000052554"
"ENSRNOG00000052561",190,"ENSRNOG00000052561"
"ENSRNOG00000052562",122,"ENSRNOG00000052562"
"ENSRNOG00000052563",261,"ENSRNOG00000052563"
"ENSRNOG00000052564",2718,"ENSRNOG00000052564"
"ENSRNOG00000052567",1536,"ENSRNOG00000052567"
"ENSRNOG00000052568",191,"ENSRNOG00000052568"
"ENSRNOG00000052570",1394,"ENSRNOG00000052570"
"ENSRNOG00000052572",5609,"ENSRNOG00000052572"
"ENSRNOG00000052573",239,"ENSRNOG00000052573"
"ENSRNOG00000052574",4115,"ENSRNOG00000052574"
"ENSRNOG00000052577",127,"ENSRNOG00000052577"
"ENSRNOG00000052578",62,"ENSRNOG00000052578"
"ENSRNOG00000052580",122,"ENSRNOG00000052580"
"ENSRNOG00000052583",7001,"ENSRNOG00000052583"
"ENSRNOG00000052584",108,"ENSRNOG00000052584"
"ENSRNOG00000052600",2334,"ENSRNOG00000052600"
"ENSRNOG00000052603",258,"ENSRNOG00000052603"
"ENSRNOG00000052604",1702,"ENSRNOG00000052604"
"ENSRNOG00000052605",103,"ENSRNOG00000052605"
"ENSRNOG00000052607",143,"ENSRNOG00000052607"
"ENSRNOG00000052611",64,"ENSRNOG00000052611"
"ENSRNOG00000052613",1664,"ENSRNOG00000052613"
"ENSRNOG00000052616",129,"ENSRNOG00000052616"
"ENSRNOG00000052617",110,"ENSRNOG00000052617"
"ENSRNOG00000052620",1804,"ENSRNOG00000052620"
"ENSRNOG00000052626",105,"ENSRNOG00000052626"
"ENSRNOG00000052628",945,"ENSRNOG00000052628"
"ENSRNOG00000052634",5361,"ENSRNOG00000052634"
"ENSRNOG00000052635",173,"ENSRNOG00000052635"
"ENSRNOG00000052644",130,"ENSRNOG00000052644"
"ENSRNOG00000052647",606,"ENSRNOG00000052647"
"ENSRNOG00000052649",856,"ENSRNOG00000052649"
"ENSRNOG00000052655",158,"ENSRNOG00000052655"
"ENSRNOG00000052658",128,"ENSRNOG00000052658"
"ENSRNOG00000052660",68,"ENSRNOG00000052660"
"ENSRNOG00000052664",6495,"ENSRNOG00000052664"
"ENSRNOG00000052665",2174,"ENSRNOG00000052665"
"ENSRNOG00000052668",3040,"ENSRNOG00000052668"
"ENSRNOG00000052672",133,"ENSRNOG00000052672"
"ENSRNOG00000052674",191,"ENSRNOG00000052674"
"ENSRNOG00000052677",1040,"ENSRNOG00000052677"
"ENSRNOG00000052679",131,"ENSRNOG00000052679"
"ENSRNOG00000052683",107,"ENSRNOG00000052683"
"ENSRNOG00000052684",105,"ENSRNOG00000052684"
"ENSRNOG00000052686",123,"ENSRNOG00000052686"
"ENSRNOG00000052687",11924,"ENSRNOG00000052687"
"ENSRNOG00000052688",13753,"ENSRNOG00000052688"
"ENSRNOG00000052692",128,"ENSRNOG00000052692"
"ENSRNOG00000052694",2066,"ENSRNOG00000052694"
"ENSRNOG00000052698",131,"ENSRNOG00000052698"
"ENSRNOG00000052702",699,"ENSRNOG00000052702"
"ENSRNOG00000052704",21171,"ENSRNOG00000052704"
"ENSRNOG00000052707",10473,"ENSRNOG00000052707"
"ENSRNOG00000052710",531,"ENSRNOG00000052710"
"ENSRNOG00000052712",103,"ENSRNOG00000052712"
"ENSRNOG00000052714",125,"ENSRNOG00000052714"
"ENSRNOG00000052715",102,"ENSRNOG00000052715"
"ENSRNOG00000052718",213,"ENSRNOG00000052718"
"ENSRNOG00000052719",441,"ENSRNOG00000052719"
"ENSRNOG00000052721",5370,"ENSRNOG00000052721"
"ENSRNOG00000052723",109,"ENSRNOG00000052723"
"ENSRNOG00000052725",4804,"ENSRNOG00000052725"
"ENSRNOG00000052730",3012,"ENSRNOG00000052730"
"ENSRNOG00000052738",62,"ENSRNOG00000052738"
"ENSRNOG00000052741",136,"ENSRNOG00000052741"
"ENSRNOG00000052744",212,"ENSRNOG00000052744"
"ENSRNOG00000052745",6374,"ENSRNOG00000052745"
"ENSRNOG00000052747",124,"ENSRNOG00000052747"
"ENSRNOG00000052748",137,"ENSRNOG00000052748"
"ENSRNOG00000052749",116,"ENSRNOG00000052749"
"ENSRNOG00000052756",145,"ENSRNOG00000052756"
"ENSRNOG00000052758",1355,"ENSRNOG00000052758"
"ENSRNOG00000052760",190,"ENSRNOG00000052760"
"ENSRNOG00000052762",107,"ENSRNOG00000052762"
"ENSRNOG00000052763",119,"ENSRNOG00000052763"
"ENSRNOG00000052764",321,"ENSRNOG00000052764"
"ENSRNOG00000052768",155,"ENSRNOG00000052768"
"ENSRNOG00000052770",97,"ENSRNOG00000052770"
"ENSRNOG00000052773",969,"ENSRNOG00000052773"
"ENSRNOG00000052775",5243,"ENSRNOG00000052775"
"ENSRNOG00000052779",104,"ENSRNOG00000052779"
"ENSRNOG00000052780",136,"ENSRNOG00000052780"
"ENSRNOG00000052781",104,"ENSRNOG00000052781"
"ENSRNOG00000052786",133,"ENSRNOG00000052786"
"ENSRNOG00000052787",1503,"ENSRNOG00000052787"
"ENSRNOG00000052788",132,"ENSRNOG00000052788"
"ENSRNOG00000052793",106,"ENSRNOG00000052793"
"ENSRNOG00000052795",9328,"ENSRNOG00000052795"
"ENSRNOG00000052797",131,"ENSRNOG00000052797"
"ENSRNOG00000052802",1645,"ENSRNOG00000052802"
"ENSRNOG00000052803",1129,"ENSRNOG00000052803"
"ENSRNOG00000052806",125,"ENSRNOG00000052806"
"ENSRNOG00000052808",102,"ENSRNOG00000052808"
"ENSRNOG00000052810",1856,"ENSRNOG00000052810"
"ENSRNOG00000052814",5371,"ENSRNOG00000052814"
"ENSRNOG00000052815",79,"ENSRNOG00000052815"
"ENSRNOG00000052816",130,"ENSRNOG00000052816"
"ENSRNOG00000052819",98,"ENSRNOG00000052819"
"ENSRNOG00000052827",439,"ENSRNOG00000052827"
"ENSRNOG00000052832",133,"ENSRNOG00000052832"
"ENSRNOG00000052839",1039,"ENSRNOG00000052839"
"ENSRNOG00000052840",7506,"ENSRNOG00000052840"
"ENSRNOG00000052844",1982,"ENSRNOG00000052844"
"ENSRNOG00000052849",133,"ENSRNOG00000052849"
"ENSRNOG00000052850",136,"ENSRNOG00000052850"
"ENSRNOG00000052853",131,"ENSRNOG00000052853"
"ENSRNOG00000052855",132,"ENSRNOG00000052855"
"ENSRNOG00000052858",378,"ENSRNOG00000052858"
"ENSRNOG00000052862",291,"ENSRNOG00000052862"
"ENSRNOG00000052863",106,"ENSRNOG00000052863"
"ENSRNOG00000052869",737,"ENSRNOG00000052869"
"ENSRNOG00000052871",131,"ENSRNOG00000052871"
"ENSRNOG00000052872",130,"ENSRNOG00000052872"
"ENSRNOG00000052873",4735,"ENSRNOG00000052873"
"ENSRNOG00000052874",123,"ENSRNOG00000052874"
"ENSRNOG00000052875",100,"ENSRNOG00000052875"
"ENSRNOG00000052877",417,"ENSRNOG00000052877"
"ENSRNOG00000052878",420,"ENSRNOG00000052878"
"ENSRNOG00000052880",1849,"ENSRNOG00000052880"
"ENSRNOG00000052881",113,"ENSRNOG00000052881"
"ENSRNOG00000052883",939,"ENSRNOG00000052883"
"ENSRNOG00000052887",7497,"ENSRNOG00000052887"
"ENSRNOG00000052888",132,"ENSRNOG00000052888"
"ENSRNOG00000052890",177,"ENSRNOG00000052890"
"ENSRNOG00000052891",151,"ENSRNOG00000052891"
"ENSRNOG00000052892",134,"ENSRNOG00000052892"
"ENSRNOG00000052894",9615,"ENSRNOG00000052894"
"ENSRNOG00000052900",126,"ENSRNOG00000052900"
"ENSRNOG00000052903",557,"ENSRNOG00000052903"
"ENSRNOG00000052916",6627,"ENSRNOG00000052916"
"ENSRNOG00000052928",161,"ENSRNOG00000052928"
"ENSRNOG00000052933",118,"ENSRNOG00000052933"
"ENSRNOG00000052934",2844,"ENSRNOG00000052934"
"ENSRNOG00000052937",102,"ENSRNOG00000052937"
"ENSRNOG00000052938",127,"ENSRNOG00000052938"
"ENSRNOG00000052940",1173,"ENSRNOG00000052940"
"ENSRNOG00000052942",6257,"ENSRNOG00000052942"
"ENSRNOG00000052945",1929,"ENSRNOG00000052945"
"ENSRNOG00000052948",2874,"ENSRNOG00000052948"
"ENSRNOG00000052950",131,"ENSRNOG00000052950"
"ENSRNOG00000052952",1566,"ENSRNOG00000052952"
"ENSRNOG00000052954",1780,"ENSRNOG00000052954"
"ENSRNOG00000052956",105,"ENSRNOG00000052956"
"ENSRNOG00000052959",2896,"ENSRNOG00000052959"
"ENSRNOG00000052963",5502,"ENSRNOG00000052963"
"ENSRNOG00000052968",5828,"ENSRNOG00000052968"
"ENSRNOG00000052979",1556,"ENSRNOG00000052979"
"ENSRNOG00000052981",2267,"ENSRNOG00000052981"
"ENSRNOG00000052983",68,"ENSRNOG00000052983"
"ENSRNOG00000052986",110,"ENSRNOG00000052986"
"ENSRNOG00000052988",122,"ENSRNOG00000052988"
"ENSRNOG00000052990",2688,"ENSRNOG00000052990"
"ENSRNOG00000052992",165,"ENSRNOG00000052992"
"ENSRNOG00000052997",140,"ENSRNOG00000052997"
"ENSRNOG00000053000",135,"ENSRNOG00000053000"
"ENSRNOG00000053002",109,"ENSRNOG00000053002"
"ENSRNOG00000053003",84,"ENSRNOG00000053003"
"ENSRNOG00000053012",135,"ENSRNOG00000053012"
"ENSRNOG00000053013",252,"ENSRNOG00000053013"
"ENSRNOG00000053015",2358,"ENSRNOG00000053015"
"ENSRNOG00000053016",72,"ENSRNOG00000053016"
"ENSRNOG00000053017",725,"ENSRNOG00000053017"
"ENSRNOG00000053018",124,"ENSRNOG00000053018"
"ENSRNOG00000053020",128,"ENSRNOG00000053020"
"ENSRNOG00000053023",2103,"ENSRNOG00000053023"
"ENSRNOG00000053025",2546,"ENSRNOG00000053025"
"ENSRNOG00000053026",3281,"ENSRNOG00000053026"
"ENSRNOG00000053030",318,"ENSRNOG00000053030"
"ENSRNOG00000053034",5590,"ENSRNOG00000053034"
"ENSRNOG00000053040",916,"ENSRNOG00000053040"
"ENSRNOG00000053042",4115,"ENSRNOG00000053042"
"ENSRNOG00000053045",1861,"ENSRNOG00000053045"
"ENSRNOG00000053047",5764,"ENSRNOG00000053047"
"ENSRNOG00000053050",104,"ENSRNOG00000053050"
"ENSRNOG00000053054",2709,"ENSRNOG00000053054"
"ENSRNOG00000053055",2301,"ENSRNOG00000053055"
"ENSRNOG00000053060",7285,"ENSRNOG00000053060"
"ENSRNOG00000053061",2057,"ENSRNOG00000053061"
"ENSRNOG00000053065",129,"ENSRNOG00000053065"
"ENSRNOG00000053070",1317,"ENSRNOG00000053070"
"ENSRNOG00000053071",128,"ENSRNOG00000053071"
"ENSRNOG00000053075",3546,"ENSRNOG00000053075"
"ENSRNOG00000053078",134,"ENSRNOG00000053078"
"ENSRNOG00000053080",163,"ENSRNOG00000053080"
"ENSRNOG00000053082",130,"ENSRNOG00000053082"
"ENSRNOG00000053083",139,"ENSRNOG00000053083"
"ENSRNOG00000053084",1647,"ENSRNOG00000053084"
"ENSRNOG00000053086",2432,"ENSRNOG00000053086"
"ENSRNOG00000053089",131,"ENSRNOG00000053089"
"ENSRNOG00000053094",117,"ENSRNOG00000053094"
"ENSRNOG00000053098",936,"ENSRNOG00000053098"
"ENSRNOG00000053099",504,"ENSRNOG00000053099"
"ENSRNOG00000053104",107,"ENSRNOG00000053104"
"ENSRNOG00000053107",118,"ENSRNOG00000053107"
"ENSRNOG00000053111",128,"ENSRNOG00000053111"
"ENSRNOG00000053112",405,"ENSRNOG00000053112"
"ENSRNOG00000053114",387,"ENSRNOG00000053114"
"ENSRNOG00000053117",101,"ENSRNOG00000053117"
"ENSRNOG00000053119",130,"ENSRNOG00000053119"
"ENSRNOG00000053120",132,"ENSRNOG00000053120"
"ENSRNOG00000053121",84,"ENSRNOG00000053121"
"ENSRNOG00000053122",8401,"ENSRNOG00000053122"
"ENSRNOG00000053125",101,"ENSRNOG00000053125"
"ENSRNOG00000053132",106,"ENSRNOG00000053132"
"ENSRNOG00000053136",870,"ENSRNOG00000053136"
"ENSRNOG00000053138",144,"ENSRNOG00000053138"
"ENSRNOG00000053139",97,"ENSRNOG00000053139"
"ENSRNOG00000053140",900,"ENSRNOG00000053140"
"ENSRNOG00000053141",444,"ENSRNOG00000053141"
"ENSRNOG00000053144",378,"ENSRNOG00000053144"
"ENSRNOG00000053145",7080,"ENSRNOG00000053145"
"ENSRNOG00000053149",114,"ENSRNOG00000053149"
"ENSRNOG00000053152",136,"ENSRNOG00000053152"
"ENSRNOG00000053153",107,"ENSRNOG00000053153"
"ENSRNOG00000053157",106,"ENSRNOG00000053157"
"ENSRNOG00000053158",133,"ENSRNOG00000053158"
"ENSRNOG00000053163",136,"ENSRNOG00000053163"
"ENSRNOG00000053170",158,"ENSRNOG00000053170"
"ENSRNOG00000053172",2507,"ENSRNOG00000053172"
"ENSRNOG00000053177",123,"ENSRNOG00000053177"
"ENSRNOG00000053178",2690,"ENSRNOG00000053178"
"ENSRNOG00000053179",973,"ENSRNOG00000053179"
"ENSRNOG00000053181",1044,"ENSRNOG00000053181"
"ENSRNOG00000053188",625,"ENSRNOG00000053188"
"ENSRNOG00000053189",134,"ENSRNOG00000053189"
"ENSRNOG00000053190",228,"ENSRNOG00000053190"
"ENSRNOG00000053191",131,"ENSRNOG00000053191"
"ENSRNOG00000053196",1578,"ENSRNOG00000053196"
"ENSRNOG00000053200",8236,"ENSRNOG00000053200"
"ENSRNOG00000053201",7472,"ENSRNOG00000053201"
"ENSRNOG00000053202",95,"ENSRNOG00000053202"
"ENSRNOG00000053203",9376,"ENSRNOG00000053203"
"ENSRNOG00000053205",4872,"ENSRNOG00000053205"
"ENSRNOG00000053210",13244,"ENSRNOG00000053210"
"ENSRNOG00000053211",63,"ENSRNOG00000053211"
"ENSRNOG00000053212",136,"ENSRNOG00000053212"
"ENSRNOG00000053213",885,"ENSRNOG00000053213"
"ENSRNOG00000053214",122,"ENSRNOG00000053214"
"ENSRNOG00000053218",109,"ENSRNOG00000053218"
"ENSRNOG00000053219",131,"ENSRNOG00000053219"
"ENSRNOG00000053220",126,"ENSRNOG00000053220"
"ENSRNOG00000053224",106,"ENSRNOG00000053224"
"ENSRNOG00000053229",1551,"ENSRNOG00000053229"
"ENSRNOG00000053230",2354,"ENSRNOG00000053230"
"ENSRNOG00000053232",4003,"ENSRNOG00000053232"
"ENSRNOG00000053234",2872,"ENSRNOG00000053234"
"ENSRNOG00000053235",104,"ENSRNOG00000053235"
"ENSRNOG00000053237",135,"ENSRNOG00000053237"
"ENSRNOG00000053238",936,"ENSRNOG00000053238"
"ENSRNOG00000053239",3932,"ENSRNOG00000053239"
"ENSRNOG00000053240",7476,"ENSRNOG00000053240"
"ENSRNOG00000053243",89,"ENSRNOG00000053243"
"ENSRNOG00000053244",1050,"ENSRNOG00000053244"
"ENSRNOG00000053246",129,"ENSRNOG00000053246"
"ENSRNOG00000053251",232,"ENSRNOG00000053251"
"ENSRNOG00000053255",99,"ENSRNOG00000053255"
"ENSRNOG00000053257",278,"ENSRNOG00000053257"
"ENSRNOG00000053259",402,"ENSRNOG00000053259"
"ENSRNOG00000053261",131,"ENSRNOG00000053261"
"ENSRNOG00000053266",98,"ENSRNOG00000053266"
"ENSRNOG00000053269",1526,"ENSRNOG00000053269"
"ENSRNOG00000053270",4673,"ENSRNOG00000053270"
"ENSRNOG00000053272",1895,"ENSRNOG00000053272"
"ENSRNOG00000053278",122,"ENSRNOG00000053278"
"ENSRNOG00000053279",137,"ENSRNOG00000053279"
"ENSRNOG00000053280",124,"ENSRNOG00000053280"
"ENSRNOG00000053283",748,"ENSRNOG00000053283"
"ENSRNOG00000053284",163,"ENSRNOG00000053284"
"ENSRNOG00000053285",5067,"ENSRNOG00000053285"
"ENSRNOG00000053288",17586,"ENSRNOG00000053288"
"ENSRNOG00000053289",90,"ENSRNOG00000053289"
"ENSRNOG00000053292",537,"ENSRNOG00000053292"
"ENSRNOG00000053295",136,"ENSRNOG00000053295"
"ENSRNOG00000053301",1385,"ENSRNOG00000053301"
"ENSRNOG00000053303",3044,"ENSRNOG00000053303"
"ENSRNOG00000053306",2050,"ENSRNOG00000053306"
"ENSRNOG00000053308",107,"ENSRNOG00000053308"
"ENSRNOG00000053309",2494,"ENSRNOG00000053309"
"ENSRNOG00000053310",122,"ENSRNOG00000053310"
"ENSRNOG00000053311",2133,"ENSRNOG00000053311"
"ENSRNOG00000053313",136,"ENSRNOG00000053313"
"ENSRNOG00000053317",1463,"ENSRNOG00000053317"
"ENSRNOG00000053318",123,"ENSRNOG00000053318"
"ENSRNOG00000053322",161,"ENSRNOG00000053322"
"ENSRNOG00000053325",2780,"ENSRNOG00000053325"
"ENSRNOG00000053330",108,"ENSRNOG00000053330"
"ENSRNOG00000053332",3397,"ENSRNOG00000053332"
"ENSRNOG00000053333",106,"ENSRNOG00000053333"
"ENSRNOG00000053334",1413,"ENSRNOG00000053334"
"ENSRNOG00000053336",111,"ENSRNOG00000053336"
"ENSRNOG00000053337",3421,"ENSRNOG00000053337"
"ENSRNOG00000053344",88,"ENSRNOG00000053344"
"ENSRNOG00000053347",1814,"ENSRNOG00000053347"
"ENSRNOG00000053349",1646,"ENSRNOG00000053349"
"ENSRNOG00000053351",908,"ENSRNOG00000053351"
"ENSRNOG00000053352",120,"ENSRNOG00000053352"
